id_venta,id_producto,cantidad,fecha,id_cliente
V004849,P0173,4,2024-05-16,C0203
V003181,P0165,9,2022-09-12,C0004
V000311,P0194,10,2020-12-02,C0156
V002787,P0167,1,2023-07-22,C0058
V002726,P0417,10,2022-04-10,C0099
V003374,P0484,3,2022-11-11,C0039
V007378,P0394,4,2024-03-15,C0150
V005799,P0024,4,2023-11-01,C0244
V001810,P0449,6,2022-12-01,C0032
V005219,P0269,10,2021-09-04,C0229
V006004,P0383,7,2021-12-09,C0246
V002625,P0478,9,2020-09-03,C0038
V001229,P0089,7,2021-03-10,C0209
V001739,P0089,5,2023-02-20,C0197
V004719,P0459,3,2021-12-02,C0137
V007707,P0246,10,2021-08-28,C0263
V005678,P0085,1,2021-10-29,C0217
V000674,P0254,4,2022-02-19,C0060
V005783,P0516,3,2020-01-20,C0203
V004478,P0205,4,2020-12-30,C0249
V004287,P0539,10,2023-08-24,C0126
V002503,P0432,1,2023-01-13,C0249
V004225,P0350,7,2021-03-27,C0283
V000797,P0210,4,2021-07-15,C0187
V006183,P0523,2,2022-07-26,C0200
V004618,P0113,5,2022-01-02,C0216
V002302,P0341,5,2020-03-21,C0049
V007634,P0437,10,2022-11-26,C0297
V005803,P0440,4,2020-11-03,C0032
V000345,P0051,3,2020-11-30,C0149
V002801,P0570,5,2022-01-16,C0092
V003707,P0432,9,2020-01-12,C0186
V005819,P0162,5,2020-10-28,C0286
V002591,P0119,10,2020-02-04,C0205
V006430,P0432,3,2022-03-14,C0253
V007318,P0541,1,2021-01-21,C0129
V002299,P0274,1,2022-02-23,C0245
V002040,P0136,1,2021-11-27,C0240
V006840,P0546,1,2021-01-17,C0297
V007722,P0012,5,2021-12-30,C0005
V006635,P0177,2,2022-07-03,C0195
V000971,P0071,9,2021-12-10,C0043
V001429,P0004,2,2022-05-24,C0181
V000287,P0079,3,2022-09-20,C0217
V005181,P0088,3,2020-10-06,C0203
V004658,P0168,3,2020-04-03,C0113
V000707,P0340,5,2023-08-23,C0092
V002711,P0257,10,2023-05-16,C0278
V002047,P0478,10,2020-01-01,C0093
V003846,P0126,4,2023-12-17,C0275
V003293,P0378,2,2020-01-25,C0181
V006209,P0533,6,2023-05-25,C0282
V000311,P0392,6,2020-12-02,C0156
V006442,P0365,5,2020-03-29,C0237
V002138,P0022,4,2023-03-22,C0300
V002777,P0524,9,2020-08-02,C0251
V006916,P0100,1,2021-09-10,C0198
V003820,P0468,10,2024-05-30,C0139
V005842,P0448,5,2020-01-31,C0224
V002548,P0204,6,2020-01-21,C0161
V002192,P0394,4,2021-08-26,C0004
V005194,P0471,7,2020-06-17,C0228
V005893,P0325,6,2022-07-17,C0300
V005221,P0336,4,2022-11-10,C0101
V001786,P0330,8,2020-08-23,C0247
V006269,P0299,5,2023-04-10,C0198
V007441,P0227,9,2020-07-25,C0249
V001158,P0164,3,2022-05-24,C0149
V003093,P0597,1,2021-01-28,C0099
V006157,P0458,6,2024-04-13,C0182
V000881,P0389,8,2021-10-10,C0053
V001212,P0191,10,2022-10-10,C0011
V000894,P0079,4,2023-04-15,C0137
V005553,P0008,3,2023-06-09,C0162
V006816,P0169,4,2022-01-28,C0283
V007558,P0258,3,2021-03-30,C0278
V007551,P0518,7,2021-08-11,C0137
V006785,P0405,5,2023-10-27,C0247
V004415,P0284,7,2020-01-14,C0276
V000819,P0331,5,2020-05-27,C0090
V005204,P0082,7,2024-01-14,C0017
V007289,P0026,1,2024-05-03,C0089
V000382,P0381,8,2023-02-19,C0265
V006264,P0294,8,2021-11-29,C0049
V004961,P0158,1,2024-01-02,C0245
V002509,P0544,6,2022-10-21,C0249
V007899,P0455,1,2022-02-26,C0031
V001696,P0001,7,2023-03-30,C0152
V005323,P0351,7,2024-05-14,C0228
V001626,P0426,2,2020-08-09,C0053
V005778,P0288,7,2021-01-09,C0285
V002882,P0257,4,2023-06-01,C0173
V005733,P0441,6,2021-03-17,C0079
V007575,P0292,1,2022-02-08,C0167
V006792,P0046,8,2021-03-24,C0004
V005410,P0010,1,2020-08-04,C0035
V000900,P0505,7,2021-03-21,C0004
V003369,P0378,7,2023-10-01,C0248
V007188,P0560,2,2023-02-07,C0099
V004345,P0154,10,2022-06-22,C0212
V003728,P0426,8,2021-12-08,C0015
V007191,P0323,10,2020-05-02,C0226
V000215,P0137,6,2023-08-27,C0216
V006402,P0198,9,2023-01-27,C0169
V001281,P0024,6,2023-10-13,C0034
V007186,P0321,7,2020-09-12,C0300
V004719,P0594,4,2021-12-02,C0137
V002356,P0592,5,2023-10-29,C0058
V003244,P0587,2,2023-05-27,C0210
V004584,P0077,9,2024-03-07,C0227
V003135,P0364,3,2022-05-12,C0185
V006793,P0386,2,2021-06-11,C0054
V000600,P0124,5,2023-05-20,C0134
V000300,P0249,3,2021-01-14,C0131
V003964,P0375,7,2023-11-04,C0247
V003748,P0434,9,2024-03-12,C0070
V001608,P0202,6,2022-11-20,C0064
V006082,P0576,7,2020-01-25,C0278
V000773,P0261,4,2021-01-05,C0166
V006168,P0547,3,2021-06-29,C0086
V004862,P0057,5,2020-02-01,C0057
V007804,P0181,3,2021-02-20,C0116
V007011,P0313,7,2022-04-05,C0034
V001696,P0441,4,2023-03-30,C0152
V002907,P0206,6,2020-11-27,C0109
V004749,P0432,8,2022-06-14,C0017
V006387,P0085,7,2020-11-14,C0137
V005633,P0521,7,2021-03-19,C0145
V003979,P0173,3,2022-06-04,C0190
V002244,P0201,8,2022-05-22,C0227
V001582,P0262,9,2024-01-29,C0206
V000598,P0249,7,2020-03-21,C0166
V001666,P0349,5,2022-08-29,C0152
V005451,P0326,5,2022-05-03,C0213
V001292,P0083,10,2021-04-30,C0210
V000697,P0264,1,2024-02-27,C0022
V006200,P0478,10,2023-05-06,C0232
V005290,P0261,4,2021-03-30,C0070
V000411,P0311,6,2023-11-09,C0061
V005982,P0406,5,2021-12-29,C0026
V002547,P0188,3,2024-06-26,C0073
V003285,P0450,9,2020-03-22,C0142
V006021,P0352,6,2021-03-19,C0022
V007113,P0082,7,2022-11-06,C0163
V000693,P0184,3,2020-11-28,C0074
V002151,P0254,7,2022-04-10,C0058
V004082,P0583,5,2022-08-14,C0248
V006030,P0295,2,2020-01-25,C0270
V004075,P0418,3,2023-04-15,C0294
V006954,P0161,5,2020-07-19,C0082
V002872,P0461,5,2022-04-16,C0119
V003986,P0438,6,2022-12-16,C0119
V003462,P0044,9,2021-08-14,C0129
V000592,P0210,6,2020-02-23,C0067
V007618,P0513,5,2020-10-12,C0213
V000978,P0534,3,2020-11-08,C0173
V002982,P0046,7,2023-11-02,C0161
V004837,P0292,9,2023-12-11,C0173
V004874,P0541,5,2022-11-27,C0159
V001590,P0194,8,2023-12-12,C0283
V000829,P0161,2,2020-02-16,C0149
V005454,P0574,10,2024-03-24,C0226
V000146,P0558,4,2023-08-30,C0088
V000254,P0435,1,2024-02-26,C0262
V003904,P0126,8,2020-11-30,C0119
V002765,P0311,5,2020-11-17,C0075
V004738,P0439,2,2021-03-03,C0056
V005874,P0161,7,2020-11-04,C0092
V003943,P0181,2,2024-02-06,C0011
V006226,P0315,10,2023-09-29,C0262
V005592,P0360,3,2023-10-06,C0137
V005744,P0430,3,2021-07-27,C0144
V006794,P0018,7,2023-04-17,C0281
V005101,P0158,6,2020-05-05,C0035
V000628,P0373,2,2022-06-19,C0240
V007574,P0147,7,2021-02-14,C0057
V005810,P0236,5,2020-05-12,C0148
V004636,P0443,2,2020-02-12,C0089
V005534,P0475,8,2020-09-11,C0031
V003792,P0021,3,2020-02-09,C0204
V001634,P0234,8,2020-09-14,C0230
V003839,P0437,6,2021-06-20,C0046
V002993,P0091,8,2022-06-10,C0278
V000214,P0030,9,2021-02-03,C0001
V007161,P0145,3,2023-07-19,C0081
V007211,P0498,1,2024-06-15,C0282
V006074,P0579,7,2022-07-06,C0058
V003133,P0157,3,2022-07-14,C0161
V006816,P0539,5,2022-01-28,C0283
V005289,P0456,4,2022-03-18,C0005
